Language,Metric,Nat_Mean,Nat_Std,Rnd_Mean,Rnd_Std,MWU_U,p_value,Cohens_d
English,tree_depth,4.198,1.985,6.853,3.715,984755.5,0.0,-0.891
English,max_arity,5.195,1.783,3.767,1.032,2752112.5,0.0,0.98
English,density,0.085,0.096,0.086,0.096,1771792.5,0.48118,-0.008
German,tree_depth,3.056,1.212,5.168,2.458,873188.5,0.0,-1.09
German,max_arity,5.13,1.448,3.546,0.841,3294762.5,0.0,1.338
German,density,0.093,0.056,0.094,0.056,1968391.0,0.386245,-0.013
Spanish,tree_depth,4.962,1.918,8.361,3.924,828409.0,0.0,-1.101
Spanish,max_arity,5.16,1.322,4.132,0.86,2941155.0,0.0,0.921
Spanish,density,0.049,0.033,0.05,0.033,1951667.5,0.185585,-0.021
Hindi,tree_depth,3.978,1.488,6.617,2.839,791313.5,0.0,-1.164
Hindi,max_arity,5.653,1.347,3.848,0.8,3497089.0,0.0,1.63
Hindi,density,0.066,0.042,0.066,0.042,1998000.5,1.0,0.0
Turkish,tree_depth,3.082,1.669,4.302,2.541,1429960.5,0.0,-0.567
Turkish,max_arity,3.936,1.473,3.234,0.964,2562498.5,0.0,0.564
Turkish,density,0.131,0.094,0.134,0.093,1933725.0,0.06922,-0.035
