language,sentence_id,type,n_nodes,max_arity,mean_arity,tree_depth,mean_depth,density
English,0,natural,29,4,2.5454545454545454,7,4.0,0.034482758620689655
English,0,random,29,4,1.6470588235294117,6,3.103448275862069,0.034482758620689655
English,1,natural,18,9,3.4,3,1.6111111111111112,0.05555555555555555
English,1,random,18,3,1.3076923076923077,8,3.888888888888889,0.05555555555555555
English,2,natural,17,5,2.2857142857142856,6,2.8823529411764706,0.058823529411764705
English,2,random,17,4,1.6,6,3.0588235294117645,0.058823529411764705
English,3,natural,16,5,2.5,4,2.0625,0.0625
English,3,random,16,4,1.5,4,2.3125,0.0625
English,4,natural,36,8,3.1818181818181817,5,2.638888888888889,0.027777777777777776
English,4,random,36,4,1.75,11,5.277777777777778,0.027777777777777776
English,5,natural,13,5,3.0,3,1.6923076923076923,0.07692307692307693
English,5,random,13,4,1.7142857142857142,4,1.8461538461538463,0.07692307692307693
English,6,natural,13,5,3.0,3,1.9230769230769231,0.07692307692307693
English,6,random,13,4,1.7142857142857142,5,2.1538461538461537,0.07692307692307693
English,7,natural,16,4,2.5,4,2.1875,0.0625
English,7,random,16,4,1.875,6,2.5,0.0625
English,8,natural,36,7,2.4285714285714284,6,2.914285714285714,0.026984126984126985
English,8,random,36,4,1.5217391304347827,10,4.805555555555555,0.027777777777777776
English,9,natural,20,5,3.1666666666666665,4,2.3,0.05
English,9,random,20,5,1.7272727272727273,4,2.05,0.05
English,10,natural,19,4,2.5714285714285716,4,2.526315789473684,0.05263157894736842
English,10,random,19,4,1.6363636363636365,6,2.789473684210526,0.05263157894736842
English,11,natural,29,6,2.8,6,2.793103448275862,0.034482758620689655
English,11,random,29,5,2.0,7,3.206896551724138,0.034482758620689655
English,12,natural,19,6,3.6,3,1.6842105263157894,0.05263157894736842
English,12,random,19,4,1.6363636363636365,5,2.3684210526315788,0.05263157894736842
English,13,natural,17,5,3.2,3,1.7058823529411764,0.058823529411764705
English,13,random,17,4,1.6,4,2.0588235294117645,0.058823529411764705
English,14,natural,27,7,3.7142857142857144,5,3.037037037037037,0.037037037037037035
English,14,random,27,5,1.8571428571428572,6,2.4814814814814814,0.037037037037037035
English,15,natural,26,7,2.7777777777777777,6,3.1923076923076925,0.038461538461538464
English,15,random,26,5,2.0833333333333335,5,2.5384615384615383,0.038461538461538464
English,16,natural,27,6,2.888888888888889,5,2.4444444444444446,0.037037037037037035
English,16,random,27,4,1.5294117647058822,12,5.962962962962963,0.037037037037037035
English,17,natural,11,3,2.5,3,1.9090909090909092,0.09090909090909091
English,17,random,11,4,1.6666666666666667,6,2.6363636363636362,0.09090909090909091
English,18,natural,20,5,3.1666666666666665,5,2.6,0.05
English,18,random,20,4,1.5833333333333333,6,2.45,0.05
English,19,natural,9,5,2.6666666666666665,2,1.2222222222222223,0.1111111111111111
English,19,random,9,4,2.0,3,1.4444444444444444,0.1111111111111111
English,20,natural,15,5,3.5,3,1.6666666666666667,0.06666666666666667
English,20,random,15,3,1.5555555555555556,6,2.533333333333333,0.06666666666666667
English,21,natural,16,3,1.875,5,2.75,0.0625
English,21,random,16,4,1.3636363636363635,7,3.0625,0.0625
English,22,natural,17,7,3.2,3,1.7058823529411764,0.058823529411764705
English,22,random,17,4,1.7777777777777777,5,2.3529411764705883,0.058823529411764705
English,23,natural,40,5,2.4375,6,3.375,0.025
English,23,random,40,4,1.6956521739130435,8,3.9,0.025
English,24,natural,49,11,3.4285714285714284,7,2.7551020408163267,0.02040816326530612
English,24,random,49,5,1.6,9,4.653061224489796,0.02040816326530612
English,25,natural,51,6,2.6315789473684212,10,5.117647058823529,0.0196078431372549
English,25,random,51,4,1.5151515151515151,12,5.7254901960784315,0.0196078431372549
English,26,natural,13,3,2.4,4,2.3076923076923075,0.07692307692307693
English,26,random,13,3,1.3333333333333333,7,3.0,0.07692307692307693
English,27,natural,10,6,3.0,2,1.2,0.1
English,27,random,10,3,1.5,4,1.9,0.1
English,28,natural,9,6,4.0,2,1.1111111111111112,0.1111111111111111
English,28,random,9,2,1.1428571428571428,4,2.2222222222222223,0.1111111111111111
English,29,natural,30,7,3.2222222222222223,4,2.1333333333333333,0.03333333333333333
English,29,random,30,5,1.7058823529411764,9,3.3666666666666667,0.03333333333333333
English,30,natural,20,8,2.7142857142857144,5,1.95,0.05
English,30,random,20,5,1.9,6,2.4,0.05
English,31,natural,27,10,4.166666666666667,4,1.8461538461538463,0.03561253561253561
English,31,random,27,5,1.7333333333333334,9,3.814814814814815,0.037037037037037035
English,32,natural,28,7,3.375,4,2.1785714285714284,0.03571428571428571
English,32,random,28,4,1.6875,8,3.3214285714285716,0.03571428571428571
English,33,natural,16,5,3.0,4,1.9375,0.0625
English,33,random,16,4,1.875,7,3.375,0.0625
English,34,natural,13,5,2.0,4,1.7692307692307692,0.07692307692307693
English,34,random,13,4,1.7142857142857142,4,2.230769230769231,0.07692307692307693
English,35,natural,12,4,2.2,4,1.9166666666666667,0.08333333333333333
English,35,random,12,3,1.2222222222222223,5,2.3333333333333335,0.08333333333333333
English,36,natural,19,6,3.0,4,1.8421052631578947,0.05263157894736842
English,36,random,19,3,1.3846153846153846,10,4.2105263157894735,0.05263157894736842
English,37,natural,26,4,2.5,6,3.1538461538461537,0.038461538461538464
English,37,random,26,4,1.6666666666666667,8,4.576923076923077,0.038461538461538464
English,38,natural,14,3,2.1666666666666665,3,2.0,0.07142857142857142
English,38,random,14,5,1.625,4,1.8571428571428572,0.07142857142857142
English,39,natural,7,4,2.0,2,1.1428571428571428,0.14285714285714285
English,39,random,7,3,1.5,4,1.7142857142857142,0.14285714285714285
English,40,natural,17,6,2.6666666666666665,3,1.588235294117647,0.058823529411764705
English,40,random,17,4,1.3333333333333333,5,2.411764705882353,0.058823529411764705
English,41,natural,22,8,4.0,3,1.7142857142857142,0.04329004329004329
